model,cv_average_precision,cv_recall,cv_f1,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.33749697048581584,0.6924242424242424,0.33905260344124144,0.8010471204188482,0.2391304347826087,0.7857142857142857,0.36666666666666664,0.9087974172719936,0.4864957202363217
SVM,0.23281439610366897,0.5878787878787879,0.2816928169869346,0.9267015706806283,0.0,0.0,0.0,0.8085149313962874,0.24017439768845594
Decision Tree,0.18301211431826708,0.42727272727272725,0.260399783097592,0.8219895287958116,0.16666666666666666,0.35714285714285715,0.22727272727272727,0.6150121065375302,0.14235851408626277
Random Forest,0.2703611889523431,0.2333333333333333,0.2668793195108984,0.9162303664921466,0.4375,0.5,0.4666666666666667,0.8591606133979016,0.3932752541872324
Gradient Boosting,0.3548413357119536,0.2121212121212121,0.2622835162773244,0.9057591623036649,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.8155770782889427,0.34215514898881566
